"","length","time","Dens","Trt","Rep","Ind","xn","yn","x0","y0","Tank","Sal","Temp","Oxy","CL","CW","SI","Trial","Side","High","StepLength","DistHigh","TimeHigh","Displacement"
"1",346.118027238982,120,"D2","HL","1",1,-143.71761045812,32.8507643473971,-36.1925545910311,-2.73205039763831,"WV04","30","9.9","10.7","7.8","19.7","1.5","5","O",1,14.4215844682909,346.118027238982,120,113.259764896454
"2",954.922139340039,705,"D2","HL","2",1,-13.6008136249189,-146.504313678814,-1.13285102499039,25.7448867030946,"WV02","31","11.4","9.9","7.4","19.3","1.4","12","O",1,6.77249744212794,417.041307668463,350,172.699846912497
"3",696.836448277401,195,"D2","HL","3",1,76.9356872795725,115.403632190412,23.8943134836278,6.36729893016824,"WV02","31","11.3","9.1","7.8","20.8","1.6","24","C",1,17.8676012378821,404.928299350733,105,121.253079569139
"4",373.413676174709,495,"D2","HL","4",1,-67.8644172786246,-134.783656400146,-25.0948153197812,-19.5149858956155,"WV02","31","10.4","10","7.3","21.7","1.6","28","C",0,3.77185531489605,68.8753542261597,25,122.947571149657
"5",428.254791528717,190,"D2","HL","5",1,-1.07507439530249,147.851908827328,-11.1630995109063,-9.72188734915208,"WV02","31","12.8","9.3","7.3","19","1.4","38","O",1,11.2698629349662,282.171783943093,110,157.896388471048
"6",1016.97786445166,250,"D2","HL","6",1,21.071462989122,147.644590454842,4.91866789160394,-16.7608693417765,"WV02","30","11.4","9.9","6.9","20.9","1.4","44","O",0,20.3395572890332,354.168939986532,85,165.197058086396
"7",340.014713516775,100,"D2","HL","7",1,139.706553840147,-50.2218679862689,9.50738032995162,6.87584073853147,"WV02","31","12.1","10.4","7.3","18.9","1.4","52","C",1,17.0007356758388,340.014713516775,100,142.168819100251
"8",482.254693036661,280,"D2","LL","1",1,-113.487765220118,96.0748650779343,4.05936112487514,14.7806048136689,"WV02","30","9.9","10.7","7.3","19.3","1.4","6","O",1,8.61169094708323,358.215953289269,190,142.919850489286
"9",506.873434870843,745,"D2","LL","2",1,-109.214933410335,-86.4587361835466,17.005441665358,14.3979756468091,"WV02","31","9.9","10.7","7.3","18","1.3","16","O",1,3.40183513336136,352.538588072025,560,161.566269392717
"10",628.614538225577,260,"D2","LL","3",1,32.8655373127482,146.288369257656,-17.7863305968197,-1.53853722107553,"WV04","31","11.6","9.9","7.5","18.6","1.4","23","C",1,12.0887411197226,344.694782542635,145,156.263898587614
"11",599.370183340465,260,"D2","LL","4",1,105.344603546166,104.467952321184,7.09438188609788,30.1577586477213,"WV02","31","10","10.1","7.5","19.8","1.5","30","C",1,11.5263496796243,279.54062871241,70,123.187300238458
"12",137.550205061886,25,"D2","LL","5",1,117.44647667364,91.1768908177298,18.5860171170423,17.4957309114256,"WV04","30","12.4","10.1","7","20.2","1.4","33","O",0,27.5100410123772,0,0,123.297622803037
"13",352.047208141263,370,"D2","LL","6",1,39.197744034238,140.474351238176,8.24076257502779,4.34770764679749,"WV02","31","11.3","10.1","6.8","19.3","1.3","46","O",0,4.75739470461166,295.410995576949,260,139.6022843528
"14",415.109895520883,220,"D2","LL","7",1,-107.863901410035,-98.0670876916729,19.8530925286346,15.5814993055698,"WV02","31","11.2","10.5","7.4","20","1.5","54","C",0,9.43431580729279,214.427154289579,135,170.96090742389
"15",784.610713111612,705,"D2","HH","1",1,138.377975870518,51.4314948079321,18.6004509653197,-6.1589068418621,"WV02","31","9.6","10.6","7.6","19.9","1.5","7","O",0,5.56461498660718,431.586953927349,370,132.903385339125
"16",484.003397058883,190,"D2","HH","2",1,-126.218716776379,-78.3770524753525,-30.6132577840926,7.98926663246979,"WV02","32","10.7","11","7.5","19.1","1.4","10","O",1,12.7369315015495,484.003397058883,190,128.839220990194
"17",1777.40867086507,1295,"D2","HH","3",1,13.1915789611983,10.054580921673,-2.27340694428624,47.2230813114273,"WV04","31","10.9","10.6","7","20.7","1.4","17","C",1,6.86258174079179,649.726913519881,590,40.257461547892
