site,treatment,rock,individual,group,aperture,base,height,closest.distance,initial.flume.temp,final.flume.temp,initial.flume.flow,final.flume.flow,initial.tank.temp.plastic,final.tank.temp.plastic,initial.tank.temp.clean,final.tank.temp.clean,tank.flow,initial.beats.min,final.beats.min,change.beats,comments.initial,comments.final,fiber.count.1,fiber.count.2,fiber.count.all,before.after,fiberpresence
Foreshore,Plastic,Foreshore plastic,1,5,4.1,7,3.2,8.2,15.4,15.4,0.29,0.233,12.5,12.8,11.7,11.8,0.268,17,11,-6,long pause without feeding,,NA,0,0,After,0
Foreshore,Plastic,Foreshore plastic,2,5,4.5,6.1,3.6,8.2,15.4,15.4,0.29,0.233,12.5,12.8,11.7,11.8,0.268,4,14,10,only feeding at beginning,,1,NA,1,Before,1
Foreshore,Plastic,Foreshore plastic,3,5,4.2,7.2,3.3,8.2,15.4,15.4,0.29,0.233,12.5,12.8,11.7,11.8,0.268,0,0,0,,,NA,0,0,After,0
Foreshore,Plastic,Foreshore plastic,4,5,3.6,7.2,3.4,8.2,15.4,15.4,0.29,0.233,12.5,12.8,11.7,11.8,0.268,31,34,3,,,0,NA,0,Before,0
Foreshore,Plastic,Foreshore plastic,5,5,4,6.6,2,8.2,15.4,15.4,0.29,0.233,12.5,12.8,11.7,11.8,0.268,45,0,-45,,,NA,0,0,After,0
Foreshore,Plastic,Foreshore plastic,6,5,3.6,6.6,2.1,8.2,15.4,15.4,0.29,0.233,12.5,12.8,11.7,11.8,0.268,31,35,4,,,NA,0,0,After,0
Foreshore,Plastic,Foreshore plastic,7,5,4.1,6,3.1,8.2,15.4,15.4,0.29,0.233,12.5,12.8,11.7,11.8,0.268,16,10,-6,started feeding at end,started feeding at end,0,NA,0,Before,0
Foreshore,Plastic,Foreshore plastic,8,5,4,6.4,2.3,8.2,15.4,15.4,0.29,0.233,12.5,12.8,11.7,11.8,0.268,34,0,-34,,,2,NA,2,Before,1
Foreshore,Plastic,Foreshore plastic,9,5,4.9,8.1,4,8.2,15.4,15.4,0.29,0.233,12.5,12.8,11.7,11.8,0.268,28,30,2,,,NA,0,0,After,0
Foreshore,Plastic,Foreshore plastic,10,5,4.5,7.5,3,8.2,15.4,15.4,0.29,0.233,12.5,12.8,11.7,11.8,0.268,20,0,-20,,,1,NA,1,Before,1
Foreshore,Control,Foreshore control,1,3,4.9,8.5,6.1,11.4,14.8,14.9,0.276,0.269,12.2,12.2,11.9,12.3,0.268,8,28,20,stopped feeding halfway,,2,NA,2,Before,1
Foreshore,Control,Foreshore control,2,3,3.6,6.3,3,11.4,14.8,14.9,0.276,0.269,12.2,12.2,11.9,12.3,0.268,13,0,-13,stopped feeding,,NA,1,1,After,1
Foreshore,Control,Foreshore control,3,3,4.2,7.6,3.3,11.4,14.8,14.9,0.276,0.269,12.2,12.2,11.9,12.3,0.268,16,31,15,stopped feeding halfway ,,0,NA,0,Before,0
Foreshore,Control,Foreshore control,4,3,4.8,8.8,5.2,11.4,14.8,14.9,0.276,0.269,12.2,12.2,11.9,12.3,0.268,0,0,0,,,NA,0,0,After,0
Foreshore,Control,Foreshore control,5,3,4.5,9.2,7,11.4,14.8,14.9,0.276,0.269,12.2,12.2,11.9,12.3,0.268,0,0,0,,,0,NA,0,Before,0
Foreshore,Control,Foreshore control,6,3,3.7,7.1,2.1,11.4,14.8,14.9,0.276,0.269,12.2,12.2,11.9,12.3,0.268,0,0,0,,,NA,0,0,After,0
